case;event;time;Resource
2659;2;06.04.2011-13:22:58;15
2659;3;08.05.2011-09:10:17;4
2660;0;15.11.2011-08:54:38;0
2660;2;16.11.2011-10:40:12;0
2660;2;16.11.2011-10:40:21;3
2660;2;16.11.2011-10:40:22;3
2660;3;31.12.2011-09:00:17;4
2661;0;02.12.2010-16:39:04;7
2661;1;14.12.2010-08:17:49;1
2661;2;03.01.2011-15:49:52;20
2661;3;18.01.2011-15:50:07;4
2662;0;20.01.2012-09:24:58;8
2662;1;20.01.2012-09:25:10;8
2662;2;20.01.2012-09:47:45;8
2662;3;24.02.2012-09:30:28;4
2663;0;19.02.2010-09:26:26;1
2663;1;09.03.2010-11:36:35;1
2663;2;09.03.2010-11:36:42;1
2663;3;24.03.2010-11:36:54;4
2664;0;16.07.2013-14:09:24;0
2664;1;23.07.2013-08:59:33;0
2664;5;24.07.2013-08:25:22;0
2664;2;19.08.2013-15:20:54;0
2664;3;03.09.2013-15:21:13;2
2665;0;26.11.2013-16:44:10;17
2665;0;27.11.2013-10:54:26;1
2665;1;12.12.2013-08:09:00;13
2665;5;12.12.2013-08:17:21;13
2665;5;12.12.2013-08:17:22;13
2665;2;18.12.2013-11:14:28;13
2665;3;02.01.2014-11:14:47;2
2666;0;11.09.2013-15:34:58;0
2666;1;13.09.2013-10:57:14;19
2666;5;13.09.2013-13:35:20;19
2666;5;13.09.2013-15:17:28;19
2666;2;08.10.2013-12:55:34;0
2666;1;08.10.2013-14:36:20;0
2666;5;09.10.2013-13:05:58;0
2666;2;09.10.2013-14:53:36;0
2666;3;24.10.2013-14:53:51;2
2667;0;14.01.2013-14:27:26;3
2667;0;14.01.2013-14:28:01;3
2667;1;30.01.2013-13:22:46;1
2667;7;30.01.2013-13:26:42;1
2667;2;13.02.2013-08:58:53;1
2667;3;28.02.2013-08:59:10;2
2668;0;03.02.2012-10:54:21;3
2668;1;10.02.2012-12:06:35;9
2668;2;10.02.2012-17:56:52;9
2668;1;17.02.2012-16:44:34;9
2668;2;24.02.2012-08:03:54;0
2668;2;24.02.2012-08:03:55;0
2668;3;10.03.2012-08:04:34;4
2669;0;16.02.2011-14:45:11;7
2669;1;16.02.2011-14:45:22;7
2669;2;16.02.2011-14:45:39;7
2669;3;16.04.2011-13:50:45;4
2670;0;21.05.2010-07:33:57;1
2670;1;25.05.2010-09:39:58;1
2670;2;25.05.2010-09:40:25;1
2670;3;24.06.2010-07:40:32;4
2671;0;26.01.2012-16:36:18;0
2671;1;26.01.2012-17:13:35;5
2671;2;27.01.2012-13:15:28;5
2671;3;10.03.2012-16:40:40;4
2672;0;04.05.2010-10:04:02;1
2672;1;04.05.2010-15:21:06;15
2672;2;04.05.2010-15:31:33;5
2672;3;04.06.2010-10:12:19;4
2673;0;03.10.2012-13:14:54;12
2673;1;10.10.2012-15:41:37;2
2673;5;22.10.2012-08:15:45;1
2673;1;24.10.2012-07:28:44;1
2673;2;02.11.2012-10:51:39;1
2673;3;17.11.2012-10:51:56;2
2674;0;06.06.2011-08:25:39;7
2674;1;06.06.2011-08:26:03;7
2674;2;15.06.2011-13:18:05;9
2674;3;07.07.2011-08:31:55;4
2675;0;05.10.2012-07:13:45;0
2675;1;14.11.2012-15:58:24;1
2675;2;14.11.2012-15:58:49;1
2675;3;29.11.2012-15:59:01;2
2676;0;14.05.2012-08:35:51;8
2676;2;14.05.2012-08:36:07;8
2676;3;26.06.2012-08:40:32;4
2677;0;22.12.2011-10:17:15;1
2677;1;22.12.2011-10:17:25;1
2677;5;22.12.2011-16:53:16;1
2677;1;27.12.2011-08:17:04;0
2677;2;28.12.2011-11:36:34;0
2677;3;10.02.2012-10:40:17;4
2678;0;11.03.2011-10:41:44;7
2678;1;30.03.2011-10:49:01;7
2678;2;30.03.2011-13:22:52;12
2678;3;14.04.2011-13:23:03;4
2679;0;10.03.2010-08:51:50;1
2679;1;15.03.2010-11:10:26;14
2679;2;20.04.2010-08:31:38;14
2679;3;05.05.2010-08:31:53;4
2680;0;20.11.2012-09:03:31;0
2680;1;26.11.2012-16:42:03;1
2680;5;30.11.2012-09:01:50;1
2680;2;07.12.2012-16:04:33;1
2680;3;22.12.2012-16:04:55;2
2681;0;01.04.2011-13:13:58;7
2681;1;01.04.2011-13:14:10;7
2681;2;01.04.2011-13:17:00;7
2681;3;04.05.2011-13:20:32;4
2682;0;22.03.2010-16:54:42;1
2682;1;23.03.2010-09:04:08;1
2682;2;23.03.2010-09:04:16;1
2682;3;22.04.2010-16:05:21;4
2683;0;27.07.2012-15:53:29;12
2683;0;27.07.2012-15:53:47;12
2683;0;27.07.2012-15:53:47;12
2683;1;30.07.2012-08:09:53;15
2683;2;30.07.2012-08:13:04;15
2683;3;09.09.2012-16:00:32;4
2684;0;20.05.2011-10:04:57;7
2684;1;20.05.2011-10:05:26;7
2684;2;20.05.2011-13:20:30;12
2684;3;03.07.2011-10:10:34;4
2685;1;20.05.2013-14:35:31;13
2685;2;24.06.2013-13:07:54;1
2685;3;09.07.2013-13:08:13;2
2686;0;19.03.2012-15:35:18;3
2686;1;19.03.2012-15:38:16;3
2686;2;20.03.2012-09:52:51;3
2686;3;26.04.2012-14:40:26;4
2687;0;05.06.2012-15:47:14;0
2687;1;06.06.2012-07:02:13;1
2687;5;18.06.2012-13:39:57;1
2687;2;12.07.2012-08:47:19;1
2687;3;27.07.2012-08:47:27;4
2688;0;31.05.2012-12:12:52;0
2688;1;31.05.2012-16:26:15;5
2688;2;01.06.2012-10:41:12;5
2688;3;14.07.2012-12:20:28;4
2689;0;10.04.2012-16:03:47;0
2689;1;11.04.2012-07:03:55;3
2689;2;02.05.2012-07:50:12;3
2689;3;17.05.2012-07:50:34;4
2690;0;08.05.2012-08:05:48;0
2690;1;10.05.2012-10:34:19;0
2690;5;11.05.2012-08:26:19;0
2690;2;14.05.2012-08:44:41;0
2690;3;09.06.2012-08:31:23;4
2691;0;13.05.2011-12:41:01;7
2691;1;13.05.2011-12:41:25;7
2691;2;13.05.2011-13:33:18;8
2691;3;26.06.2011-12:50:24;4
2692;0;03.05.2010-12:36:18;5
2692;1;04.05.2010-13:23:15;1
2692;2;04.05.2010-13:23:24;1
2692;3;05.06.2010-12:40:17;4
2693;0;08.06.2011-07:24:05;7
2693;1;08.06.2011-07:24:35;7
2693;2;08.06.2011-09:36:32;8
2693;3;09.07.2011-07:31:05;4
2694;1;23.11.2011-11:23:17;3
2694;2;23.11.2011-13:25:06;5
2694;3;06.01.2012-11:31:04;4
2695;0;20.10.2011-08:53:21;0
2695;1;20.10.2011-08:59:58;5
2695;2;20.10.2011-09:51:18;5
2695;3;26.11.2011-10:00:26;4
2696;0;01.03.2012-16:21:45;8
2696;1;06.03.2012-15:41:44;8
2696;2;07.03.2012-09:14:00;0
2696;3;03.04.2012-15:30:17;4
2697;0;30.11.2011-09:49:05;3
2697;1;30.11.2011-09:49:38;3
2697;2;01.12.2011-13:34:02;3
2697;3;01.01.2012-09:50:55;4
2698;0;18.04.2011-10:39:50;1
2698;1;19.04.2011-07:43:08;9
2698;2;20.04.2011-15:19:50;1
2698;2;20.04.2011-15:19:51;7
2698;3;05.06.2011-10:40:47;4
2699;0;15.02.2013-10:33:26;0
2699;1;18.02.2013-16:18:51;0
2699;5;18.02.2013-16:43:18;0
2699;2;18.03.2013-14:12:44;0
2699;3;02.04.2013-13:13:00;2
2700;0;29.03.2011-09:26:08;7
2700;1;29.03.2011-09:26:35;7
2700;2;29.03.2011-15:46:24;12
2700;3;29.04.2011-09:30:16;4
2701;0;06.09.2010-15:22:19;18
2701;1;06.09.2010-15:22:49;18
2701;2;06.09.2010-15:22:54;18
2701;3;03.11.2010-16:30:43;4
2702;0;02.02.2011-07:58:41;7
2702;1;15.02.2011-17:03:08;10
2702;2;18.02.2011-17:16:29;15
2702;3;05.03.2011-17:16:47;4
2703;0;02.02.2011-13:50:31;7
2703;1;09.02.2011-14:14:46;1
2703;2;09.02.2011-14:15:45;1
2703;3;12.03.2011-14:01:01;4
2704;0;12.04.2012-08:17:59;3
2704;1;12.04.2012-08:18:22;3
2704;2;12.04.2012-14:17:24;3
2704;3;15.05.2012-08:20:11;4
2705;0;11.06.2010-07:34:41;14
2705;1;11.06.2010-07:53:45;14
2705;2;11.06.2010-07:55:39;14
2705;3;14.07.2010-07:44:28;4
2706;0;25.03.2011-13:57:37;7
2706;0;25.03.2011-13:58:07;7
2706;1;28.03.2011-15:54:55;7
2706;2;28.03.2011-15:55:15;7
2706;3;23.05.2011-13:00:29;4
2707;0;16.09.2011-08:48:49;0
2707;1;21.09.2011-07:38:58;12
2707;2;21.09.2011-10:31:28;12
2707;3;19.10.2011-08:51:04;4
2708;0;16.11.2010-14:30:13;1
2708;1;17.11.2010-11:40:23;5
2708;5;17.11.2010-14:02:04;5
2708;1;22.11.2010-08:59:12;5
2708;2;22.11.2010-09:00:08;5
2708;3;22.12.2010-09:06:59;4
2709;0;26.04.2011-14:43:59;7
2709;1;09.05.2011-15:19:53;1
2709;5;10.05.2011-13:13:38;13
2709;5;11.05.2011-13:53:25;1
2709;1;17.05.2011-07:56:14;1
2709;2;17.05.2011-07:56:21;1
2709;3;02.06.2011-08:50:56;4
2710;0;03.04.2012-09:39:47;3
2710;1;03.04.2012-16:05:33;8
2710;2;10.04.2012-10:25:09;1
2710;3;04.05.2012-09:40:19;4
2711;0;10.03.2010-08:50:17;1
2711;1;19.04.2010-08:22:43;14
2711;2;19.04.2010-08:23:40;14
2711;3;04.05.2010-08:23:57;4
2712;0;24.09.2012-10:34:04;8
2712;1;24.09.2012-10:34:33;8
2712;5;04.10.2012-08:00:50;8
2712;2;12.10.2012-09:04:07;8
2712;3;27.10.2012-09:04:22;2
2713;0;19.09.2012-09:24:49;0
2713;1;24.09.2012-07:01:36;2
2713;2;08.10.2012-07:58:09;5
2713;3;23.10.2012-07:58:26;2
2714;0;27.04.2011-09:32:26;7
2714;1;27.04.2011-09:53:02;7
2714;2;27.04.2011-10:54:28;7
2714;3;12.06.2011-09:40:29;4
2715;0;26.10.2012-14:13:35;0
2715;1;29.10.2012-15:58:56;1
2715;5;07.11.2012-10:07:43;1
2715;2;15.11.2012-10:30:08;1
2715;3;30.11.2012-10:30:23;2
2716;0;16.09.2010-16:37:47;13
2716;1;16.09.2010-16:38:01;13
2716;2;16.09.2010-16:38:13;13
2716;3;30.10.2010-16:00:56;4
2717;0;05.10.2010-12:40:46;1
2717;1;07.10.2010-09:12:16;1
2717;2;07.10.2010-09:13:07;1
2717;3;06.11.2010-10:13:25;4
2718;0;14.05.2012-12:59:38;0
2718;1;14.05.2012-12:59:50;0
2718;5;14.05.2012-13:06:27;0
2718;2;25.05.2012-07:35:47;0
2718;3;24.06.2012-07:36:14;4
2719;0;07.08.2013-10:30:46;8
2719;1;09.08.2013-09:38:37;8
2719;7;14.08.2013-15:11:24;8
2719;2;10.09.2013-08:17:19;1
2719;3;25.09.2013-08:17:26;2
2720;0;25.06.2013-10:25:43;0
2720;1;05.07.2013-07:05:32;1
2720;5;05.07.2013-07:28:50;1
2720;2;12.07.2013-15:32:05;1
2720;3;27.07.2013-15:32:23;2
2721;0;26.07.2011-07:50:19;12
2721;1;28.07.2011-09:02:16;12
2721;5;28.07.2011-09:22:45;12
2721;5;03.08.2011-08:59:57;12
2721;2;03.08.2011-09:50:07;1
2721;2;03.08.2011-09:50:11;1
2721;3;10.09.2011-09:00:26;4
2722;0;06.06.2012-14:54:08;0
2722;1;06.06.2012-15:57:04;9
2722;2;07.06.2012-12:43:39;9
2722;1;07.06.2012-15:31:25;9
2722;2;08.06.2012-16:33:34;9
2722;3;07.07.2012-15:00:31;4
2723;0;22.09.2011-14:38:56;0
2723;1;27.09.2011-10:06:08;8
2723;5;28.09.2011-13:10:00;8
2723;2;28.09.2011-14:17:24;8
2723;3;25.10.2011-15:50:23;4
2724;0;20.12.2010-14:10:32;12
2724;1;20.12.2010-16:38:15;1
2724;5;21.12.2010-11:33:55;1
2724;1;22.12.2010-10:39:15;1
2724;2;22.12.2010-10:39:25;1
2724;3;28.01.2011-13:20:30;4
2725;0;11.01.2011-11:20:28;7
2725;1;12.01.2011-11:31:25;1
2725;5;13.01.2011-15:17:16;1
2725;1;18.01.2011-10:55:14;1
2725;2;18.01.2011-10:58:43;1
2725;3;23.02.2011-08:10:27;4
2726;0;20.03.2012-15:58:26;0
2726;1;21.03.2012-08:35:08;5
2726;5;23.03.2012-09:44:30;10
2726;1;20.04.2012-14:03:31;10
2726;2;20.04.2012-14:03:39;10
2726;3;05.05.2012-14:04:06;4
2727;0;27.10.2010-09:28:14;6
2727;1;27.10.2010-09:29:09;6
2727;2;27.10.2010-12:14:19;6
2727;3;30.11.2010-10:30:34;4
2728;0;07.05.2012-09:48:29;8
2728;1;07.05.2012-09:48:48;8
2728;5;07.05.2012-10:32:52;8
2728;2;07.05.2012-10:50:02;8
2728;3;22.06.2012-10:10:40;4
2729;0;08.11.2010-17:17:32;13
2729;1;09.11.2010-09:57:45;13
2729;2;09.11.2010-09:57:58;13
2729;3;15.12.2010-17:00:31;4
2729;3;15.12.2010-17:00:31;4
2730;0;30.05.2011-09:32:01;7
2730;1;30.05.2011-09:32:39;7
2730;2;30.05.2011-10:32:04;8
2730;3;13.07.2011-09:40:54;4
2731;0;08.07.2010-08:59:21;18
2731;1;05.08.2010-09:52:17;11
2731;2;05.08.2010-10:55:29;11
2731;3;20.08.2010-10:55:47;4
2732;0;22.12.2010-09:51:57;7
2732;1;22.12.2010-10:03:37;13
2732;2;23.12.2010-14:20:54;13
2732;3;12.02.2011-10:00:38;4
2733;0;01.10.2013-09:25:05;1
2733;1;01.10.2013-12:38:06;1
2733;5;09.10.2013-09:36:07;1
2733;2;18.10.2013-13:01:47;1
2733;3;02.11.2013-14:02:07;2
2734;0;18.07.2011-10:05:43;1
2734;1;18.07.2011-10:05:57;1
2734;5;20.07.2011-08:17:20;1
2734;2;03.08.2011-14:02:11;1
2734;3;19.08.2011-16:00:26;4
2735;0;27.05.2011-14:04:53;7
2735;1;27.05.2011-14:05:15;7
2735;5;30.05.2011-07:34:08;5
2735;1;31.05.2011-15:20:37;5
2735;2;31.05.2011-15:23:04;5
2735;3;30.06.2011-15:23:36;4
2736;0;10.11.2011-14:42:14;3
2736;1;11.11.2011-08:09:00;3
2736;2;11.11.2011-10:10:53;3
2736;3;15.12.2011-14:50:39;4
2737;0;16.12.2011-11:53:30;0
2737;1;21.12.2011-15:24:06;8
2737;2;29.12.2011-15:49:36;0
2737;2;29.12.2011-15:49:37;0
2737;3;02.02.2012-12:00:25;4
2738;0;23.04.2012-15:42:07;1
2738;1;23.04.2012-15:43:03;1
2738;5;24.04.2012-12:13:36;1
2738;2;14.05.2012-15:05:40;1
2738;3;29.05.2012-15:06:01;4
2739;0;05.01.2012-11:12:59;1
2739;2;05.01.2012-11:13:25;1
2739;3;22.02.2012-11:20:48;4
2740;0;28.02.2013-12:00:50;0
2740;1;11.03.2013-11:36:10;1
2740;2;18.03.2013-08:07:58;1
2740;3;02.04.2013-07:08:09;2
2741;0;22.01.2010-14:49:01;1
2741;1;22.01.2010-14:49:10;1
2741;1;22.02.2010-13:53:42;1
2741;2;22.02.2010-13:53:49;1
2741;3;09.03.2010-13:54:07;4
2742;0;22.12.2010-10:47:01;12
2742;1;22.12.2010-10:50:25;1
2742;2;30.12.2010-08:49:42;1
2742;1;10.01.2011-15:06:21;1
2742;2;11.01.2011-10:24:57;1
2742;3;26.01.2011-10:25:15;4
2743;0;24.02.2011-09:00:36;12
2743;1;24.02.2011-15:41:20;12
2743;5;25.02.2011-13:48:35;12
2743;1;18.03.2011-14:45:38;1
2743;2;18.03.2011-14:45:45;1
2743;3;02.04.2011-14:15:27;4
2744;4;07.04.2010-08:55:57;14
2744;0;07.04.2010-08:57:25;14
2744;1;07.04.2010-09:15:58;1
2744;2;07.04.2010-09:16:03;1
2744;1;26.04.2010-13:47:40;1
2744;2;29.04.2010-13:03:14;1
2744;2;29.04.2010-13:03:15;1
2744;3;14.05.2010-13:03:32;4
2745;0;08.06.2010-14:49:26;1
2745;1;14.06.2010-13:56:25;1
2745;2;14.06.2010-13:56:53;1
2745;3;09.07.2010-14:50:20;4
2746;0;13.12.2011-11:43:53;0
2746;1;13.12.2011-16:11:24;8
2746;5;15.12.2011-15:51:18;8
2746;2;23.12.2011-10:07:13;8
2746;3;04.02.2012-16:00:24;4
2747;0;13.01.2010-12:26:04;1
2747;1;19.01.2010-09:26:05;1
2747;2;19.01.2010-09:28:50;1
2747;3;13.02.2010-12:00:28;4
2748;0;12.10.2011-12:16:49;0
2748;1;26.10.2011-15:56:03;3
2748;5;27.10.2011-16:04:01;12
2748;2;28.10.2011-07:56:17;0
2748;3;12.11.2011-14:21:27;4
2749;0;22.03.2012-08:44:39;0
2749;1;22.03.2012-08:55:53;9
2749;2;22.03.2012-09:53:44;12
2749;3;29.04.2012-07:50:31;4
2750;0;18.02.2011-15:15:26;12
2750;1;18.02.2011-15:15:52;12
2750;5;21.02.2011-08:12:35;8
2750;1;04.03.2011-09:18:27;8
2750;2;04.03.2011-09:18:42;8
2750;3;07.04.2011-14:21:13;4
2751;0;17.07.2012-15:19:30;0
2751;2;17.07.2012-15:20:44;0
2751;3;01.09.2012-15:20:26;4
2752;1;03.01.2012-10:28:28;3
2752;5;03.01.2012-10:36:13;3
2752;2;13.01.2012-09:25:14;3
2752;3;16.02.2012-11:50:35;4
2753;0;05.04.2011-08:48:28;7
2753;1;05.04.2011-08:48:49;7
2753;2;06.04.2011-09:31:40;12
2753;3;06.05.2011-08:50:21;4
2754;0;14.07.2011-08:39:50;12
2754;1;14.07.2011-08:57:33;10
2754;2;14.07.2011-09:08:19;10
2754;3;16.08.2011-08:40:19;4
2755;0;28.09.2010-15:30:04;8
2755;1;29.09.2010-07:10:08;8
2755;2;29.09.2010-07:10:31;8
2755;3;29.10.2010-15:42:29;4
2756;0;24.02.2012-14:02:00;0
2756;1;06.03.2012-16:54:36;12
2756;2;08.03.2012-10:51:17;12
2756;3;23.04.2012-13:17:31;4
2757;0;03.11.2011-16:30:45;3
2757;1;07.11.2011-11:50:20;1
2757;5;23.11.2011-16:13:48;1
2757;2;28.11.2011-16:34:36;1
2757;3;13.12.2011-16:34:48;4
2758;0;11.11.2011-14:57:19;0
2758;1;23.11.2011-08:30:08;8
2758;2;23.11.2011-08:30:16;8
2758;3;14.12.2011-15:01:02;4
2759;0;22.12.2011-08:46:29;0
2759;2;22.12.2011-11:00:05;0
2759;3;24.01.2012-08:50:22;4
2760;0;06.06.2012-15:11:18;0
2760;1;06.06.2012-15:11:25;0
2760;2;07.06.2012-12:28:41;0
2760;3;07.07.2012-15:20:31;4
2761;0;21.09.2011-13:50:00;0
2761;1;28.09.2011-07:07:04;9
2761;2;03.10.2011-13:27:47;9
2761;3;22.10.2011-13:50:13;4
2762;0;10.10.2011-15:58:35;0
2762;2;11.10.2011-15:36:01;12
2762;2;11.10.2011-15:36:01;12
2762;3;25.11.2011-17:00:23;4
2763;0;13.06.2012-13:12:52;3
2763;1;13.06.2012-14:26:26;12
2763;5;15.06.2012-09:06:45;12
2763;2;05.07.2012-13:39:10;0
2763;2;05.07.2012-13:39:13;0
2763;3;05.08.2012-07:50:41;4
2764;0;15.01.2013-09:24:18;0
2764;1;22.01.2013-13:35:30;1
2764;5;31.01.2013-09:18:48;3
2764;5;31.01.2013-09:18:49;3
2764;2;31.01.2013-13:18:34;3
2764;3;15.02.2013-13:18:51;2
2765;0;15.11.2011-17:06:24;0
2765;1;18.11.2011-11:22:57;1
2765;2;18.11.2011-11:28:37;1
2765;3;31.12.2011-17:00:28;4
2766;0;22.02.2011-17:06:33;8
2766;0;22.02.2011-17:07:00;8
2766;1;24.02.2011-08:59:24;12
2766;2;03.03.2011-09:31:15;10
2766;3;07.04.2011-16:00:35;4
2767;0;03.10.2011-10:07:44;1
2767;1;03.10.2011-10:08:07;1
2767;2;04.10.2011-09:30:03;1
2767;3;03.11.2011-11:10:26;4
2768;0;14.09.2011-10:05:27;0
2768;1;14.09.2011-12:27:29;12
2768;2;14.09.2011-13:07:02;12
2768;3;15.10.2011-10:10:55;4
2769;0;25.03.2013-10:11:28;8
2769;1;10.04.2013-07:36:01;3
2769;2;10.04.2013-10:26:02;3
2769;3;25.04.2013-10:26:22;2
2770;0;17.03.2010-08:11:26;1
2770;1;19.03.2010-15:10:09;1
2770;2;22.03.2010-14:30:07;14
2770;3;17.04.2010-07:20:27;4
2771;0;10.07.2012-15:48:48;0
2771;1;16.07.2012-09:52:06;0
2771;2;16.07.2012-13:24:13;1
2771;3;10.08.2012-15:50:20;4
2772;0;03.10.2011-13:38:34;0
2772;1;06.10.2011-13:02:34;8
2772;2;10.10.2011-09:48:35;14
2772;3;18.11.2011-14:41:34;4
2773;0;20.05.2013-11:48:49;13
2773;2;23.05.2013-12:58:29;0
2773;2;23.05.2013-12:58:29;0
2773;1;23.05.2013-15:51:48;0
2773;2;06.06.2013-07:07:54;0
2773;3;21.06.2013-07:08:13;2
2774;0;06.09.2011-15:37:58;11
2774;0;08.09.2011-08:00:35;1
2774;2;08.09.2011-08:01:00;1
2774;3;20.10.2011-15:41:37;4
2775;1;30.09.2013-13:48:54;0
2775;5;08.10.2013-13:13:27;0
2775;1;18.10.2013-08:40:06;1
2775;5;18.10.2013-09:00:24;0
2775;2;21.10.2013-13:56:11;0
2775;3;05.11.2013-14:56:24;2
2776;0;23.05.2013-08:34:42;3
2776;1;29.05.2013-15:36:19;1
2776;5;31.05.2013-08:10:29;13
2776;2;11.06.2013-10:14:21;13
2776;3;26.06.2013-10:14:42;2
2777;0;11.11.2010-14:41:07;1
2777;0;11.11.2010-14:41:28;1
2777;1;11.11.2010-14:41:36;1
2777;2;16.11.2010-09:36:28;14
2777;3;29.12.2010-14:50:50;4
2778;0;06.06.2012-09:20:31;1
2778;1;06.06.2012-12:39:36;9
2778;2;02.07.2012-09:40:39;9
2778;3;17.07.2012-09:40:56;4
2779;0;21.11.2011-15:36:29;1
2779;2;21.11.2011-15:56:42;1
2779;3;22.12.2011-15:40:14;4
2780;0;11.05.2011-07:25:37;7
2780;1;11.05.2011-07:26:07;7
2780;2;12.05.2011-07:41:53;5
2780;3;30.06.2011-07:30:47;4
2781;0;02.08.2011-14:22:25;12
2781;1;12.08.2011-15:22:22;9
2781;1;02.09.2011-08:04:57;1
2781;2;12.09.2011-15:27:00;1
2781;3;27.09.2011-15:27:17;4
2782;0;29.06.2011-15:43:14;8
2782;0;07.07.2011-07:57:38;1
2782;1;07.07.2011-14:19:20;6
2782;2;07.07.2011-14:19:28;6
2782;3;27.08.2011-15:51:45;4
2783;0;14.10.2010-13:51:38;1
2783;1;26.10.2010-15:24:45;1
2783;2;27.10.2010-12:56:22;1
2783;3;27.11.2010-15:00:21;4
2784;0;13.10.2011-09:06:39;0
2784;1;13.10.2011-09:08:57;0
2784;2;20.10.2011-08:47:36;0
2784;3;15.11.2011-10:10:12;4
2785;0;21.04.2010-13:54:59;10
2785;1;21.04.2010-13:58:43;10
2785;2;21.04.2010-13:58:54;10
2785;2;21.04.2010-14:19:23;1
2785;3;04.06.2010-14:00:22;4
2786;0;13.03.2012-11:08:36;0
2786;1;13.03.2012-11:08:47;0
2786;2;13.03.2012-14:16:59;0
2786;3;13.04.2012-10:11:26;4
2787;0;05.06.2013-15:19:23;13
2787;1;07.06.2013-10:10:28;1
2787;5;10.06.2013-08:17:15;1
2787;2;28.06.2013-08:23:41;1
2787;3;13.07.2013-08:24:01;2
2788;0;30.07.2012-10:55:06;0
2788;1;31.07.2012-15:11:01;3
2788;2;31.07.2012-15:11:19;3
2788;3;12.09.2012-11:01:25;4
2789;0;10.08.2010-14:50:22;11
2789;1;25.08.2010-10:27:27;1
2789;2;14.09.2010-07:27:38;1
2789;3;29.09.2010-07:27:54;4
2790;0;31.07.2012-16:04:20;0
2790;1;23.08.2012-14:20:33;8
2790;2;23.08.2012-14:29:23;8
2790;3;07.09.2012-14:29:40;2
2791;0;28.05.2012-13:11:37;3
2791;1;30.05.2012-10:48:04;0
2791;2;30.05.2012-14:02:02;0
2791;2;30.05.2012-14:02:03;0
2791;3;28.06.2012-13:20:31;4
2792;0;21.10.2011-09:46:26;0
2792;1;31.10.2011-10:57:48;1
2792;2;31.10.2011-11:24:54;1
2792;3;04.12.2011-10:50:31;4
2793;0;28.10.2011-08:49:47;0
2793;1;28.10.2011-08:50:08;0
2793;5;28.10.2011-10:38:36;0
2793;2;16.11.2011-15:12:54;0
2793;3;17.12.2011-13:30:28;4
2794;0;20.03.2012-14:30:38;0
2794;1;21.03.2012-16:42:57;1
2794;5;21.03.2012-16:48:21;1
2794;2;06.04.2012-14:41:47;1
2794;3;21.04.2012-14:42:04;4
2795;0;18.01.2012-14:52:06;12
2795;1;18.01.2012-14:56:56;12
2795;2;25.01.2012-10:56:57;12
2795;3;02.03.2012-15:00:48;4
2796;1;22.05.2013-12:50:24;0
2796;2;07.06.2013-07:00:37;0
2796;3;22.06.2013-07:00:56;2
2797;0;22.12.2010-10:35:27;7
2797;0;22.12.2010-10:40:40;1
2797;1;22.12.2010-10:40:48;1
2797;2;21.01.2011-09:44:30;1
2797;3;20.02.2011-09:44:57;4
2798;0;15.02.2012-11:19:41;8
2798;1;29.02.2012-10:00:04;1
2798;2;29.02.2012-10:21:35;1
2798;3;17.03.2012-11:20:29;4
2799;0;02.03.2012-13:35:43;3
2799;1;02.03.2012-13:39:14;3
2799;2;05.03.2012-09:24:21;3
2799;3;26.04.2012-12:40:42;4
2800;0;14.05.2012-12:10:23;0
2800;1;15.05.2012-10:01:29;0
2800;5;16.05.2012-14:02:55;0
2800;1;22.05.2012-15:24:21;0
2800;2;25.05.2012-10:37:26;0
2800;3;27.06.2012-13:40:36;4
2801;0;15.02.2011-09:38:24;7
2801;1;15.02.2011-09:39:26;7
2801;2;15.02.2011-10:48:30;8
2801;3;18.03.2011-09:40:22;4
2802;0;20.04.2012-10:13:57;8
2802;1;23.04.2012-07:44:58;12
2802;2;24.04.2012-13:15:46;12
2802;3;23.05.2012-10:20:37;4
2803;0;24.03.2010-15:02:18;1
2803;1;10.05.2010-08:56:32;20
2803;2;10.05.2010-08:56:38;20
2803;3;10.05.2010-08:56:46;20
2804;4;29.09.2010-13:12:11;4
2804;0;29.09.2010-13:35:34;1
2804;1;30.09.2010-15:35:06;1
2804;0;01.10.2010-10:06:18;11
2804;0;01.10.2010-10:06:18;11
2804;5;01.10.2010-13:13:00;16
2804;1;01.10.2010-13:13:35;16
2804;2;01.10.2010-13:13:56;16
2804;3;15.11.2010-14:14:29;4
2805;4;26.10.2010-15:40:41;6
2805;0;26.10.2010-15:45:08;6
2805;1;26.10.2010-15:45:16;6
2805;2;26.10.2010-15:45:35;6
2805;3;27.11.2010-16:50:22;4
2806;0;25.10.2010-14:50:44;1
2806;1;25.10.2010-15:43:17;1
2806;2;25.10.2010-15:43:51;1
2806;3;09.12.2010-16:00:42;4
2807;0;16.06.2011-10:59:42;1
2807;1;16.06.2011-11:00:02;1
2807;5;20.06.2011-13:28:47;1
2807;5;20.06.2011-13:31:01;1
2807;2;14.07.2011-15:36:31;1
2807;3;29.07.2011-15:36:54;4
2808;0;01.08.2011-07:52:38;1
2808;1;02.08.2011-14:00:27;1
2808;2;03.08.2011-07:07:13;1
2808;3;23.09.2011-08:00:43;4
2809;0;07.09.2010-10:11:59;1
2809;0;07.09.2010-14:21:50;1
2809;1;09.09.2010-07:22:07;1
2809;2;09.09.2010-07:22:18;1
2809;2;09.09.2010-15:19:08;1
2809;3;08.10.2010-10:20:30;4
2810;0;18.07.2011-13:08:40;8
2810;1;18.07.2011-13:15:15;10
2810;2;18.07.2011-13:26:14;10
